vid_name,vid_name_long,vid_location,year,river,transect,location,frame_rate,total_frames,video_length,number_of_splits,rand_order,EDA,notes
2017_Mudginberri_Billabong_2017_Transect_4_Location_7,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 4_Location 7_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 4/Location 7/,2017,Mudginberri,Transect 4,Location 7,50,256803,85.601,22,0.955980022,yes,
2017_Sandy_Billabong_2017_Transect_2_Location_3,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 2_Location 3_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 2/Location 3/,2017,Sandy,Transect 2,Location 3,50,212400,70.8,18,0.951699124,yes,
2017_Mudginberri_Billabong_2017_Transect_2_Location_3,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 3_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 3/,2017,Mudginberri,Transect 2,Location 3,50,212400,70.8,18,0.951106521,yes,
2016_Channels_2016_Mudginberri_Videos_Transect_2_Location_6_Camera_11,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 2_Location 6 Camera 11_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 2/Location 6 Camera 11/,2016,Mudginberri,Transect 2,Location 6,50,223321,74.44033333,19,0.9504188,yes,
2017_Mudginberri_Billabong_2017_Transect_1_Location_3,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 3_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 3/,2017,Mudginberri,Transect 1,Location 3,50,195395,65.13166667,17,0.949253212,yes,
2017_Mudginberri_Billabong_2017_Transect_1_Location_8,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 8_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 8/,2017,Mudginberri,Transect 1,Location 8,50,205723,68.57433333,18,0.946414037,yes,
2016_Channels_2016_Mudginberri_Videos_Transect_6_(bad_resolution)_Location_10_Camera_21,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 6 (bad resolution)_Location 10 Camera 21_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 6 (bad resolution)/Location 10 Camera 21/,2016,Mudginberri,Transect 6,Location 10,50,193495,64.49833333,17,0.94487684,no,bad resolution
2018_Mudginberri_Billabong_2018_Transect_6_Location_4,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 6_Location 4_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 6/Location 4/,2018,Mudginberri,Transect 6,Location 4,50,203715,67.905,17,0.938418076,yes,
2017_Sandy_Billabong_2017_Transect_1_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 1_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 1/Location 2/,2017,Sandy,Transect 1,Location 2,50,271412,90.47066667,23,0.935323054,yes,
2018_Mudginberri_Billabong_2018_Transect_4_Location_3,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 4_Location 3_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 4/Location 3/,2018,Mudginberri,Transect 4,Location 3,50,228985,76.32833333,20,0.932816518,yes,
