"","...1","Video_name","Class","measure","value","vid_name_long","vid_location","year","river","transect","location","frame_rate","total_frames","video_length","number_of_splits","rand_order","EDA","notes","Mobility","Schooling","Schooling_3_groups","Mobility_3_groups","...6","...7","...8","value_tol"
"12",455,"2016_Channels_2016_Mudginberri_Videos_Transect_2_Location_2_Camera_1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 2_Location 2 Camera 1_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 2/Location 2 Camera 1/","2016","Mudginberri","Transect 2","Location 2",50,233247,77.749,20,0.553351461,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"13",495,"2016_Channels_2016_Mudginberri_Videos_Transect_2_Location_4_Camera_8","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 2_Location 4 Camera 8_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 2/Location 4 Camera 8/","2016","Mudginberri","Transect 2","Location 4",50,207679,69.22633333,18,0.291748138,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"14",535,"2016_Channels_2016_Mudginberri_Videos_Transect_2_Location_5_Camera_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 2_Location 5 Camera 10_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 2/Location 5 Camera 10/","2016","Mudginberri","Transect 2","Location 5",50,224874,74.958,19,0.254827188,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"15",615,"2016_Channels_2016_Mudginberri_Videos_Transect_2_Location_7_Camera_6","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 2_Location 7 Camera 6_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 2/Location 7 Camera 6/","2016","Mudginberri","Transect 2","Location 7",50,220688,73.56266667,19,0.079320561,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"16",655,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_10_Camera_5","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 10 Camera 5_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 10 Camera 5/","2016","Mudginberri","Transect 3","Location 10",50,235451,78.48366667,20,0.287363464,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"17",695,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_4_Camera_3","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 4 Camera 3_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 4 Camera 3/","2016","Mudginberri","Transect 3","Location 4",50,201394,67.13133333,17,0.000678908,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"18",735,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_5_Camera_6","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 5 Camera 6_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 5 Camera 6/","2016","Mudginberri","Transect 3","Location 5",50,212400,70.8,18,0.405084626,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"19",775,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_6_Camera_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 6 Camera 10_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 6 Camera 10/","2016","Mudginberri","Transect 3","Location 6",50,224855,74.95166667,19,0.087917329,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"20",815,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_7_Camera_12","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 7 Camera 12_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 7 Camera 12/","2016","Mudginberri","Transect 3","Location 7",50,234250,78.08333333,20,0.156086084,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"21",855,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_8_Camera_22","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 8 Camera 22_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 8 Camera 22/","2016","Mudginberri","Transect 3","Location 8",50,221013,73.671,19,0.266459896,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
