"","...1","Video_name","Class","measure","value","vid_name_long","vid_location","year","river","transect","location","frame_rate","total_frames","video_length","number_of_splits","rand_order","EDA","notes","Mobility","Schooling","Schooling_3_groups","Mobility_3_groups","...6","...7","...8","value_tol"
"51",2215,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_2_Camera_18","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 2 Camera 18_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 2 Camera 18/","2016","Sandy","Transect 2","Location 2",50,229486,76.49533333,20,0.892833241,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"52",2255,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_3_Camera_21","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 3 Camera 21_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 3 Camera 21/","2016","Sandy","Transect 2","Location 3",50,244127,81.37566667,21,0.142580782,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"53",2295,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_4_Camera_14","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 4 Camera 14_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 4 Camera 14/","2016","Sandy","Transect 2","Location 4",50,226779,75.593,19,0.243176715,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"54",2335,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_5_Camera_11","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 5 Camera 11_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 5 Camera 11/","2016","Sandy","Transect 2","Location 5",50,235854,78.618,20,0.268343659,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"55",2375,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_6_Camera_17","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 6 Camera 17_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 6 Camera 17/","2016","Sandy","Transect 2","Location 6",50,256959,85.653,22,0.905699232,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"56",2415,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_7_Camera_15","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 7 Camera 15_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 7 Camera 15/","2016","Sandy","Transect 2","Location 7",50,249738,83.246,21,0.643341065,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"57",2455,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_8_Camera_22","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 8 Camera 22_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 8 Camera 22/","2016","Sandy","Transect 2","Location 8",50,241017,80.339,21,0.167716532,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"58",2495,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_9_Camera_16","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 9 Camera 16_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 9 Camera 16/","2016","Sandy","Transect 2","Location 9",50,229405,76.46833333,20,0.495046689,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"59",2535,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_10_Camera_12","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 10 Camera 12_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 10 Camera 12/","2016","Sandy","Transect 3","Location 10",50,303642,101.214,26,0.017987093,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"60",2575,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_1_Camera_9","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 1 Camera 9_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 1 Camera 9/","2016","Sandy","Transect 3","Location 1",50,290307,96.769,25,0.73861219,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"61",2615,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_2_Camera_5","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 2 Camera 5_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 2 Camera 5/","2016","Sandy","Transect 3","Location 2",50,256818,85.606,22,0.331246956,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"62",2695,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_4_Camera_8","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 4 Camera 8_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 4 Camera 8/","2016","Sandy","Transect 3","Location 4",50,261481,87.16033333,22,0.302305641,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"63",2735,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_5_Camera_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 5 Camera 10_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 5 Camera 10/","2016","Sandy","Transect 3","Location 5",50,286998,95.666,24,0.053473214,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"64",2775,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_6_Camera_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 6 Camera 4_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 6 Camera 4/","2016","Sandy","Transect 3","Location 6",50,275064,91.688,23,0.43893245,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"65",2815,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_7_Camera_6","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 7 Camera 6_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 7 Camera 6/","2016","Sandy","Transect 3","Location 7",50,225881,75.29366667,19,0.301272906,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"66",2855,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_8_Camera_7","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 8 Camera 7_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 8 Camera 7/","2016","Sandy","Transect 3","Location 8",50,295425,98.475,25,0.803344824,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"67",2895,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_3_Location_9_Camera_3","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 3_Location 9 Camera 3_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 3/Location 9 Camera 3/","2016","Sandy","Transect 3","Location 9",50,282686,94.22866667,24,0.038697634,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"68",2935,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_10_Camera_12","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 10 Camera 12_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 10 Camera 12/","2016","Sandy","Transect 4","Location 10",50,252377,84.12566667,22,0.864501922,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"69",2975,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_2_Camera_7","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 2 Camera 7_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 2 Camera 7/","2016","Sandy","Transect 4","Location 2",50,265748,88.58266667,23,0.890298201,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"70",3015,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_3_Camera_6","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 3 Camera 6_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 3 Camera 6/","2016","Sandy","Transect 4","Location 3",50,263273,87.75766667,22,0.36130429,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"71",3055,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_4_Camera_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 4 Camera 4_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 4 Camera 4/","2016","Sandy","Transect 4","Location 4",50,263992,87.99733333,22,0.116405524,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"72",3095,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_5_Camera_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 5 Camera 10_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 5 Camera 10/","2016","Sandy","Transect 4","Location 5",50,262115,87.37166667,22,0.435608085,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"73",3135,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_6_Camera_8","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 6 Camera 8_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 6 Camera 8/","2016","Sandy","Transect 4","Location 6",50,264613,88.20433333,23,0.702607281,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"74",3175,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_7_Camera_1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 7 Camera 1_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 7 Camera 1/","2016","Sandy","Transect 4","Location 7",50,265795,88.59833333,23,0.097671353,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"75",3215,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_8_Camera_9","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 8 Camera 9_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 8 Camera 9/","2016","Sandy","Transect 4","Location 8",50,266680,88.89333333,23,0.249605285,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"76",3255,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_4_Location_9_Camera_5","Leiopotherapon unicolor","AvgN",0.00892857142857143,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 4_Location 9 Camera 5_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 4/Location 9 Camera 5/","2016","Sandy","Transect 4","Location 9",50,268237,89.41233333,23,0.403748521,"no",NA,"high","high","medium","medium",NA,NA,NA,0.0133928571428571
"77",3295,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_10_Camera_20","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 10 Camera 20_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 10 Camera 20/","2016","Sandy","Transect 5","Location 10",50,259499,86.49966667,22,0.231822367,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"78",3335,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_1_Camera_14","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 1 Camera 14_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 1 Camera 14/","2016","Sandy","Transect 5","Location 1",50,278908,92.96933333,24,0.347393125,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"79",3375,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_2_Camera_16","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 2 Camera 16_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 2 Camera 16/","2016","Sandy","Transect 5","Location 2",50,271990,90.66333333,23,0.619632688,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"80",3415,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_3_Camera_17","Leiopotherapon unicolor","AvgN",0.00892857142857143,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 3 Camera 17_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 3 Camera 17/","2016","Sandy","Transect 5","Location 3",50,266744,88.91466667,23,0.82700309,"no",NA,"high","high","medium","medium",NA,NA,NA,0.0133928571428571
"81",3455,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_4_Camera_15","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 4 Camera 15_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 4 Camera 15/","2016","Sandy","Transect 5","Location 4",50,263201,87.73366667,22,0.530740453,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"82",3495,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_5_Camera_21","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 5 Camera 21_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 5 Camera 21/","2016","Sandy","Transect 5","Location 5",50,258548,86.18266667,22,0.414975176,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"83",3535,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_6_Camera_11","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 6 Camera 11_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 6 Camera 11/","2016","Sandy","Transect 5","Location 6",50,257735,85.91166667,22,0.341468134,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"84",3615,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_8_Camera_18","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 8 Camera 18_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 8 Camera 18/","2016","Sandy","Transect 5","Location 8",50,257293,85.76433333,22,0.834732577,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"85",3655,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_5_Location_9_Camera_22","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 5_Location 9 Camera 22_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 5/Location 9 Camera 22/","2016","Sandy","Transect 5","Location 9",50,259158,86.386,22,0.592981649,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"86",3695,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_10_Camera_9","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 10 Camera 9_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 10 Camera 9/","2016","Sandy","Transect 6","Location 10",50,275474,91.82466667,23,0.093045252,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"87",3735,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_2_Camera_12","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 2 Camera 12_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 2 Camera 12/","2016","Sandy","Transect 6","Location 2",50,286699,95.56633333,24,0.514302556,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"88",3775,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_3_Camera_7","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 3 Camera 7_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 3 Camera 7/","2016","Sandy","Transect 6","Location 3",50,276875,92.29166667,24,0.391261371,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"89",3815,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_5_Camera_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 5 Camera 4_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 5 Camera 4/","2016","Sandy","Transect 6","Location 5",50,251798,83.93266667,21,0.880999441,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"90",3855,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_6_Camera_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 6 Camera 10_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 6 Camera 10/","2016","Sandy","Transect 6","Location 6",50,281334,93.778,24,0.667353178,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"91",3895,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_7_Camera_1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 7 Camera 1_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 7 Camera 1/","2016","Sandy","Transect 6","Location 7",50,286241,95.41366667,24,0.306354696,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"92",3935,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_8_Camera_8","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 8 Camera 8_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 8 Camera 8/","2016","Sandy","Transect 6","Location 8",50,272261,90.75366667,23,0.627640265,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"93",3975,"2016_Channels_2016_Sandy_Videos_Sandy_Transect_6_Location_9_Camera_5","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 6_Location 9 Camera 5_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 6/Location 9 Camera 5/","2016","Sandy","Transect 6","Location 9",50,260378,86.79266667,22,0.364071736,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"94",4015,"2017_Mudginberri_Billabong_2017_Transect_1_Location_2","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 2_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 2/","2017","Mudginberri","Transect 1","Location 2",50,206625,68.875,18,0.093021593,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"95",4055,"2017_Mudginberri_Billabong_2017_Transect_1_Location_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 4_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 4/","2017","Mudginberri","Transect 1","Location 4",50,200859,66.953,17,0.804642166,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"96",4095,"2017_Mudginberri_Billabong_2017_Transect_1_Location_5","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 5_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 5/","2017","Mudginberri","Transect 1","Location 5",50,226474,75.49133333,19,0.045900816,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"97",4135,"2017_Mudginberri_Billabong_2017_Transect_1_Location_6","Leiopotherapon unicolor","AvgN",0.0178571428571429,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 6_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 6/","2017","Mudginberri","Transect 1","Location 6",50,224872,74.95733333,19,0.156301573,"no",NA,"high","high","medium","medium",NA,NA,NA,0.0223214285714286
"98",4175,"2017_Mudginberri_Billabong_2017_Transect_1_Location_7","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Location 7_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Location 7/","2017","Mudginberri","Transect 1","Location 7",50,227782,75.92733333,19,0.533808786,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"99",4295,"2017_Mudginberri_Billabong_2017_Transect_1_Loction_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 1_Loction 10_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 1/Loction 10/","2017","Mudginberri","Transect 1","Loction 10",50,221115,73.705,19,0.606372393,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"100",4335,"2017_Mudginberri_Billabong_2017_Transect_2_Location_1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 1_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 1/","2017","Mudginberri","Transect 2","Location 1",50,212400,70.8,18,0.60588423,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"101",4375,"2017_Mudginberri_Billabong_2017_Transect_2_Location_2","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 2_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 2/","2017","Mudginberri","Transect 2","Location 2",50,212400,70.8,18,0.789065432,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"102",4455,"2017_Mudginberri_Billabong_2017_Transect_2_Location_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 4_","../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 4/","2017","Mudginberri","Transect 2","Location 4",50,206222,68.74066667,18,0.902204587,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
