"","power","Class","measure","na_sum","p_mean"
"1",0.923,"High:High","MaxN",0,0.0170246008788456
"2",0.984,"High:High","meancount",0,0.00416527063439306
"3",0.426,"High:Low","MaxN",0,0.104540287272197
"4",0.973,"High:Low","meancount",0,0.00472464860618654
"5",0.892,"Low:High","MaxN",0,0.0226626707621335
"6",0.896,"Low:High","meancount",0,0.0186363123172977
"7",0.441,"Low:Low","MaxN",0,0.107797876387155
"8",0.972,"Low:Low","meancount",0,0.0055360997473806
