"","power","Class","measure","na_sum","p_mean"
"1",0.934,"High:High","MaxN",0,0.0139860440060489
"2",0.982,"High:High","meancount",0,0.00367572466793715
"3",0.522,"High:Low","MaxN",0,0.0778884840692192
"4",0.989,"High:Low","meancount",0,0.00205258972154144
"5",0.914,"Low:High","MaxN",0,0.0184414055611895
"6",0.93,"Low:High","meancount",0,0.0148221929778573
"7",0.555,"Low:Low","MaxN",0,0.0782593320793222
"8",0.985,"Low:Low","meancount",0,0.00393256951260686
