"","power","Class","measure","na_sum","p_mean"
"1",0.796,"High:High","MaxN",0,0.0481612008484406
"2",0.915,"High:High","meancount",0,0.0188085400568183
"3",0.182,"High:Low","MaxN",0,0.184848639846467
"4",0.913,"High:Low","meancount",0,0.0185488943891748
"5",0.723,"Low:High","MaxN",0,0.0719302305700167
"6",0.749,"Low:High","meancount",0,0.0635867242558344
"7",0.229,"Low:Low","MaxN",0,0.187206379405107
"8",0.884,"Low:Low","meancount",0,0.0228276923219662
