"","power","Class","measure","na_sum","p_mean"
"1",0.415,"High:High","MaxN",0,0.232670433660579
"2",0.43,"High:High","meancount",0,0.225899992583873
"3",0.017,"High:Low","MaxN",0,0.478108535545597
"4",0.486,"High:Low","meancount",0,0.177664496692569
"5",0.336,"Low:High","MaxN",0,0.260822511717918
"6",0.37,"Low:High","meancount",0,0.258223281664288
"7",0.018,"Low:Low","MaxN",0,0.462598357140754
"8",0.479,"Low:Low","meancount",0,0.168011002500516
