"","power","Class","measure","na_sum","p_mean"
"1",0.934,"High:High","MaxN",0,0.0139860440060489
"2",0.944,"High:High","meancount",0,0.0136037044702546
"3",0.522,"High:Low","MaxN",0,0.0778884840692192
"4",0.987,"High:Low","meancount",0,0.00273388138712087
"5",0.914,"Low:High","MaxN",0,0.0184414055611895
"6",0.91,"Low:High","meancount",0,0.0203993116216158
"7",0.555,"Low:Low","MaxN",0,0.0782593320793222
"8",0.989,"Low:Low","meancount",0,0.00305423110876086
