"","power","Class","measure","na_sum","p_mean"
"1",0.98,"High:High","MaxN",0,0.00396847039253638
"2",0.953,"High:High","meancount",0,0.00980468567392183
"3",0.706,"High:Low","MaxN",0,0.0462658394207277
"4",0.997,"High:Low","meancount",0,0.00082400860395161
"5",0.953,"Low:High","MaxN",0,0.00879484827574892
"6",0.931,"Low:High","meancount",0,0.0152515437462216
"7",0.72,"Low:Low","MaxN",0,0.0459982186872612
"8",0.991,"Low:Low","meancount",0,0.00145934062740432
